fold,model,train_end,test_start,test_end,budget_k,value_at_risk,var_covered_frac,precision_at_k,recall_at_k,lift_at_k,roc_auc,pr_auc,brier_score
2010-12_2011-01,xgboost,2010-11,2010-12,2011-01,0.05,127352.66000000002,0.18530502857245645,0.41379310344827586,0.049586776859504134,0.9866058706184098,0.7717891259953675,0.6579687722764346,0.21921552850226822
2010-12_2011-01,xgboost,2010-11,2010-12,2011-01,0.1,184139.62999999998,0.26793315034386833,0.44508670520231214,0.10606060606060606,1.061219127693116,0.7717891259953675,0.6579687722764346,0.21921552850226822
2010-12_2011-01,xgboost,2010-11,2010-12,2011-01,0.2,286830.03,0.4173532528067222,0.47398843930635837,0.22589531680440772,1.1301294606602015,0.7717891259953675,0.6579687722764346,0.21921552850226822
2010-12_2011-01,logistic_regression,2010-11,2010-12,2011-01,0.05,86743.4,0.1262163524144059,0.4482758620689655,0.05371900826446281,1.0688230265032772,0.7829776736153942,0.6880881330376311,0.21045001550735504
2010-12_2011-01,logistic_regression,2010-11,2010-12,2011-01,0.1,157790.39,0.22959357682367248,0.47398843930635837,0.11294765840220386,1.1301294606602015,0.7829776736153942,0.6880881330376311,0.21045001550735504
2010-12_2011-01,logistic_regression,2010-11,2010-12,2011-01,0.2,251769.9,0.36633886181242303,0.4479768786127168,0.21349862258953167,1.0681101609898247,0.7829776736153942,0.6880881330376311,0.21045001550735504
2010-12_2011-01,lightgbm,2010-11,2010-12,2011-01,0.05,122303.48,0.1779581977786004,0.40229885057471265,0.048209366391184574,0.9592001519901207,0.7675575291586145,0.6599647661272365,0.21995092675031117
2010-12_2011-01,lightgbm,2010-11,2010-12,2011-01,0.1,173285.83,0.2521402825771509,0.45664739884393063,0.10881542699724518,1.0887832608799504,0.7675575291586145,0.6599647661272365,0.21995092675031117
2010-12_2011-01,lightgbm,2010-11,2010-12,2011-01,0.2,273834.62,0.3984442263179092,0.49710982658959535,0.2369146005509642,1.1852577270338698,0.7675575291586145,0.6599647661272365,0.21995092675031117
2011-02_2011-03,xgboost,2011-01,2011-02,2011-03,0.05,84973.55,0.22615272924626395,0.37362637362637363,0.049926578560939794,0.9974342837778962,0.7704265934131218,0.6141650773538749,0.18700615969478357
2011-02_2011-03,xgboost,2011-01,2011-02,2011-03,0.1,119193.14,0.317226406551592,0.35714285714285715,0.09544787077826726,0.9534298300818125,0.7704265934131218,0.6141650773538749,0.18700615969478357
2011-02_2011-03,xgboost,2011-01,2011-02,2011-03,0.2,171030.97,0.45519012270448733,0.3489010989010989,0.18649045521292218,0.9314276032337706,0.7704265934131218,0.6141650773538749,0.18700615969478357
2011-02_2011-03,logistic_regression,2011-01,2011-02,2011-03,0.05,79212.2,0.21081919279117922,0.4065934065934066,0.05433186490455213,1.0854431911700635,0.7754214468091704,0.6296825313390343,0.18641001276197275
2011-02_2011-03,logistic_regression,2011-01,2011-02,2011-03,0.1,113509.44,0.30209953157441394,0.35714285714285715,0.09544787077826726,0.9534298300818125,0.7754214468091704,0.6296825313390343,0.18641001276197275
2011-02_2011-03,logistic_regression,2011-01,2011-02,2011-03,0.2,165995.20000000004,0.4417876800696151,0.34615384615384615,0.18502202643171806,0.9240935276177568,0.7754214468091704,0.6296825313390343,0.18641001276197275
2011-02_2011-03,lightgbm,2011-01,2011-02,2011-03,0.05,84537.78,0.2249929498228593,0.3626373626373626,0.048458149779735685,0.9680979813138404,0.7673257161011859,0.61981606895076,0.18783175592138304
2011-02_2011-03,lightgbm,2011-01,2011-02,2011-03,0.1,115886.88,0.30842696575386436,0.33516483516483514,0.08957415565345081,0.8947572251537009,0.7673257161011859,0.61981606895076,0.18783175592138304
2011-02_2011-03,lightgbm,2011-01,2011-02,2011-03,0.2,186278.02,0.49576936142588063,0.3708791208791209,0.19823788546255505,0.9901002081618823,0.7673257161011859,0.61981606895076,0.18783175592138304
2011-04_2011-05,xgboost,2011-03,2011-04,2011-05,0.05,55049.85,0.153258096014613,0.31313131313131315,0.043055555555555555,0.8602413019079685,0.7907569334039923,0.6485303519644356,0.1771707808104082
2011-04_2011-05,xgboost,2011-03,2011-04,2011-05,0.1,82994.22,0.23105487367209745,0.29797979797979796,0.08194444444444444,0.8186167227833894,0.7907569334039923,0.6485303519644356,0.1771707808104082
2011-04_2011-05,xgboost,2011-03,2011-04,2011-05,0.2,152322.68099999998,0.42406444467880045,0.32575757575757575,0.17916666666666667,0.8949284511784511,0.7907569334039923,0.6485303519644356,0.1771707808104082
2011-04_2011-05,logistic_regression,2011-03,2011-04,2011-05,0.05,72254.941,0.20115685483808218,0.35353535353535354,0.04861111111111111,0.9712401795735128,0.7874740549372903,0.6334222613712903,0.1820837283045602
2011-04_2011-05,logistic_regression,2011-03,2011-04,2011-05,0.1,97333.401,0.27097497478897453,0.2878787878787879,0.07916666666666666,0.7908670033670034,0.7874740549372903,0.6334222613712903,0.1820837283045602
2011-04_2011-05,logistic_regression,2011-03,2011-04,2011-05,0.2,153416.78100000002,0.4271104054370876,0.30303030303030304,0.16666666666666666,0.8324915824915825,0.7874740549372903,0.6334222613712903,0.1820837283045602
2011-04_2011-05,lightgbm,2011-03,2011-04,2011-05,0.05,55086.33999999999,0.15335968371963984,0.31313131313131315,0.043055555555555555,0.8602413019079685,0.7899504283695461,0.638333284793598,0.17758001608946272
2011-04_2011-05,lightgbm,2011-03,2011-04,2011-05,0.1,105504.421,0.293722992589156,0.3434343434343434,0.09444444444444444,0.9434904601571268,0.7899504283695461,0.638333284793598,0.17758001608946272
2011-04_2011-05,lightgbm,2011-03,2011-04,2011-05,0.2,153886.001,0.4284167080666492,0.33080808080808083,0.18194444444444444,0.9088033108866442,0.7899504283695461,0.638333284793598,0.17758001608946272
2011-06_2011-07,xgboost,2011-05,2011-06,2011-07,0.05,69684.01000000001,0.182530279933944,0.3235294117647059,0.04576976421636616,0.9171901770416905,0.7775146427811377,0.6136731885125629,0.1808592689076523
2011-06_2011-07,xgboost,2011-05,2011-06,2011-07,0.1,112710.09000000003,0.29523278409322345,0.36764705882352944,0.10402219140083217,1.0422615648201028,0.7775146427811377,0.6136731885125629,0.1808592689076523
